λ,σ,uncertainty
,,5.687
,,5.74
,,5.794
,,5.848
,,5.904
,,5.961
,,6.019
,,6.078
,,6.138
,,6.199
,,6.262
,,6.326
,,6.391
,,6.458
,,6.525
,,6.595
,,6.666
,,6.738
,,6.812
,,6.888
,,6.965
,,7.045
,,7.126
,,7.208
,,7.293
,,7.38
,,7.469
,,7.56
,,7.653
,,7.749
,,7.847
,,7.948
,,8.051
,,8.157
,,8.266
,,8.377
,,8.492
,,8.61
,,8.731
,,8.856
,,8.984
,,9.116
,,9.253
,,9.393
,,9.537
,,9.686
,,9.84
,,9.999
,10.16,2.316e-18
,10.33,2.425e-18
,10.51,2.535e-18
,10.69,2.535e-18
,10.88,2.656e-18
,11.07,2.788e-18
,11.27,2.941e-18
,11.48,3.018e-18
,11.7,3.084e-18
,11.92,3.227e-18
,12.16,3.402e-18
,12.4,3.479e-18
,12.7,
,12.9,
,13.2,
,13.5,
,13.8,
,14.1,
,14.4,
,14.8,
,15.1,
,15.5,
,15.7,
,15.9,
,16.1,
,16.3,
,16.5,
,16.8,
,17.0,
,17.2,
,17.5,
,17.7,
,18.0,
,18.2,
,18.5,
,18.8,
,19.1,
,19.4,
,19.7,
,20.0,
,20.3,
,20.7,
,21.0,
,21.4,
,21.8,
,22.1,
,22.5,
,23.0,
,23.4,
,23.8,
,24.3,
,24.8,
,25.3,
,25.8,
,26.4,
,27.0,
,27.6,
,28.2,
,28.8,
,29.5,
,30.2,
,31.0,
,31.4,
,31.8,
,32.2,
,32.6,
,33.1,
,33.5,
,34.0,
,34.4,
,34.9,
,35.4,
,35.9,
,36.5,
,37.0,
,37.6,
,38.1,
,38.7,
,39.4,
,40.0,
,40.7,
,41.3,
,42.0,
,42.8,
,43.5,
,44.3,
,45.1,
,45.9,
,46.8,
,47.7,
,48.6,
,49.6,
,50.6,
,51.7,
,52.8,
,53.9,
,55.1,
,56.4,
,57.7,
,59.0,
,60.5,
,62.0,
,63.6,
,65.3,
,67.0,
,68.9,
,70.8,
,72.9,
,75.1,
,77.5,
,80.0,
,82.7,
,85.5,
,88.6,
,91.8,
,95.4,
,99.2,
103,,
108,,
113,,
118,,
124,,
131,,
138,,
146,,
155,,
165,,
