download_url,T2,λ2,author_year,comments,λ1,name,doi,formula,T1,fname
https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Organic%20radicals/CH3C(O)_Adachi(1981)_298K_202.5-240.0nm(meas).txt,NaN,240.0,Adachi(1981),The techniques of flash photolysis (CH,202.5,acetyl radical, https://doi.org/10.1002/kin.550131206,CH3C(O),298.0,data/cross-sections/Organics (carbonyls)/Organic radicals/CH3C(O)/CH3C(O)_Adachi(1981)_298K_202.csv
https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Organic%20radicals/CH3C(O)_Adachi(1981)_298K_203-240nm(smoo).txt,NaN,240.0,Adachi(1981),The techniques of flash photolysis (CH,203.0,acetyl radical, https://doi.org/10.1002/kin.550131206,CH3C(O),298.0,data/cross-sections/Organics (carbonyls)/Organic radicals/CH3C(O)/CH3C(O)_Adachi(1981)_298K_203-240nm(smoo).csv
https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Organic%20radicals/CH3C(O)_Adachi(1981)_298K_215nm(max).txt,NaN,NaN,Adachi(1981),The techniques of flash photolysis (CH,215.0,acetyl radical, https://doi.org/10.1002/kin.550131206,CH3C(O),298.0,data/cross-sections/Organics (carbonyls)/Organic radicals/CH3C(O)/CH3C(O)_Adachi(1981)_298K_215nm(max).csv
https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Organic%20radicals/CH3C(O)_AnastasiMaw(1982)_263-343K_223nm.txt,343.0,NaN,AnastasiMaw(1982),Reactions involving the acetyl radical were studied using its absorption spectrum obtained with the molecular modulation spectrometer,223.0,acetyl radical, https://doi.org/10.1039/F19827802423,CH3C(O),263.0,data/cross-sections/Organics (carbonyls)/Organic radicals/CH3C(O)/CH3C(O)_AnastasiMaw(1982)_263-343K_223nm.csv
https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Organic%20radicals/CH3C(O)_BascoParmar(1985)_298K_200-235nm(meas).txt,NaN,235.0,BascoParmar(1985),The techniques of flash photolysis (Cl,200.0,acetyl radical, https://doi.org/10.1002/kin.550170809,CH3C(O),298.0,data/cross-sections/Organics (carbonyls)/Organic radicals/CH3C(O)/CH3C(O)_BascoParmar(1985)_298K_200-235nm(meas).csv
https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Organic%20radicals/CH3C(O)_BascoParmar(1985)_298K_200-236nm(smoo).txt,NaN,236.0,BascoParmar(1985),The techniques of flash photolysis (Cl,200.0,acetyl radical, https://doi.org/10.1002/kin.550170809,CH3C(O),298.0,data/cross-sections/Organics (carbonyls)/Organic radicals/CH3C(O)/CH3C(O)_BascoParmar(1985)_298K_200-236nm(smoo).csv
https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Organic%20radicals/CH3C(O)_Cameron(2002)_298K_190-248nm.txt,NaN,248.0,Cameron(2002),"The absorption spectrum was measured using a diode array spectrometer and normalized to the result from the single wavelength experiment, σ(220 nm) = 1.4×10",190.0,acetyl radical, https://doi.org/10.1039/B202586H,CH3C(O),298.0,data/cross-sections/Organics (carbonyls)/Organic radicals/CH3C(O)/CH3C(O)_Cameron(2002)_298K_190-248nm.csv
https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Organic%20radicals/CH3C(O)_Cameron(2002)_298K_220nm.txt,NaN,NaN,Cameron(2002),Single wavelength measurement at 220 nm,220.0,acetyl radical, https://doi.org/10.1039/B202586H,CH3C(O),298.0,data/cross-sections/Organics (carbonyls)/Organic radicals/CH3C(O)/CH3C(O)_Cameron(2002)_298K_220nm.csv
https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Organic%20radicals/CH3C(O)_JPL-2010(2011)_298K_190-248nm(rec).txt,NaN,248.0,JPL-2010(2011),The recommended absorption cross sections have been calculated using the semi-logarithmic Gaussian fit,190.0,acetyl radical,,CH3C(O),298.0,data/cross-sections/Organics (carbonyls)/Organic radicals/CH3C(O)/CH3C(O)_JPL-2010(2011)_298K_190-248nm(rec).csv
https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Organic%20radicals/CH3C(O)_JPL-2010(2011)_298K_500-660nm(rec).txt,NaN,660.0,JPL-2010(2011),JPL-2010 recommendation:,500.0,acetyl radical,,CH3C(O),298.0,data/cross-sections/Organics (carbonyls)/Organic radicals/CH3C(O)/CH3C(O)_JPL-2010(2011)_298K_500-660nm(rec).csv
https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Organic%20radicals/CH3C(O)_MaricqSzente(1996)_295K_190-341nm.txt,NaN,341.0,MaricqSzente(1996),Data at ∼0.5-nm intervals obtained by personal communication from M.M. Maricq (April 1999),190.0,acetyl radical, https://doi.org/10.1016/0009-2614(96)00155-8,CH3C(O),295.0,data/cross-sections/Organics (carbonyls)/Organic radicals/CH3C(O)/CH3C(O)_MaricqSzente(1996)_295K_190-341nm.csv
https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Organic%20radicals/CH3C(O)_Parkes(1981)_298K_225nm.txt,NaN,NaN,Parkes(1981),Kinetic measurements using molecular modulation spectroscopy,225.0,acetyl radical, https://doi.org/10.1016/0009-2614(81)85201-3,CH3C(O),298.0,data/cross-sections/Organics (carbonyls)/Organic radicals/CH3C(O)/CH3C(O)_Parkes(1981)_298K_225nm.csv
https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Organic%20radicals/CH3C(O)_Parkes(1981)_298K_225nm(recalc).txt,NaN,NaN,Parkes(1981),A value of σ (225 nm) = 1×10,225.0,acetyl radical, https://doi.org/10.1016/0009-2614(81)85201-3,CH3C(O),298.0,data/cross-sections/Organics (carbonyls)/Organic radicals/CH3C(O)/CH3C(O)_Parkes(1981)_298K_225nm(recalc).csv
https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Organic%20radicals/CH3C(O)_Rajakumar(2007)_298K_498-660nm.txt,NaN,660.0,Rajakumar(2007),The gas-phase acetyl radicals were produced,498.0,acetyl radical, https://doi.org/10.1021/jp073339h,CH3C(O),298.0,data/cross-sections/Organics (carbonyls)/Organic radicals/CH3C(O)/CH3C(O)_Rajakumar(2007)_298K_498-660nm.csv
