T,author_year,download_url,comments,formula,name,citation,fname
220.0,Amoruso(1993),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen%20oxides/NO2_Amoruso(1993)_220K_440-459.5nm.txt,Averages over intervals of 0.5 nm of the spectrum measured at a resolution of 0.134 nm,NO2,nitrogen dioxide,"

  A. Amoruso, L. Crescentini, G. Fiocco, and M Volpe, ""New measurements of the NO",data/cross-sections/Nitrogen oxides/NO2/NO2_Amoruso(1993)_220K_440-459.csv
298.0,Amoruso(1993),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen%20oxides/NO2_Amoruso(1993)_298K_440-459.5nm.txt,Averages over intervals of 0.5 nm of the spectrum measured at a resolution of 0.134 nm,NO2,nitrogen dioxide,"

  A. Amoruso, L. Crescentini, G. Fiocco, and M Volpe, ""New measurements of the NO",data/cross-sections/Nitrogen oxides/NO2/NO2_Amoruso(1993)_298K_440-459.csv
295.0,Atkinson(1999),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen%20oxides/NO2_Atkinson(1999)_295K_445,455nm.txt",The cross sections are used to account for NO,NO2,nitrogen dioxide,"

  D.B. Atkinson, J.W. Hudgens, and A.J. Orr-Ewing, ""Kinetic studies of the reactions of IO radicals determined by cavity ring-down spectroscopy"",
  J. Phys. Chem. A 103, 6173-6180 (1999); 


  DOI: ","data/cross-sections/Nitrogen oxides/NO2/NO2_Atkinson(1999)_295K_445,455nm.csv"
298.0,AuBrion(1997),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen%20oxides/NO2_AuBrion(1997)_298K_15.5-827nm(e,e).txt","Measured by dipole (e,e) spectroscopy; energies E (in eV) and differential oscillator strengths df/dE (in 10",NO2,nitrogen dioxide,"

  J.W. Au and C.E. Brion, ""Absolute oscillator strengths for the valence-shell photoabsorption (2-200 eV) and the molecular and dissociative photoionization (11-18 eV) of nitrogen dioxide"",
  Chem. Phys. 218, 109-126 (1997); 


  DOI: ",data/cross-sections/Nitrogen oxides/NO2/NO2_AuBrion(1997)_298K_15.csv
298.0,AuBrion(1997),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen%20oxides/NO2_AuBrion(1997)_298K_6.2-15.5nm(e,e).txt","Measured by dipole (e,e) spectroscopy; energies E (in eV) and differential oscillator strengths df/dE (in 10",NO2,nitrogen dioxide,"

  J.W. Au and C.E. Brion, ""Absolute oscillator strengths for the valence-shell photoabsorption (2-200 eV) and the molecular and dissociative photoionization (11-18 eV) of nitrogen dioxide"",
  Chem. Phys. 218, 109-126 (1997); 


  DOI: ",data/cross-sections/Nitrogen oxides/NO2/NO2_AuBrion(1997)_298K_6.csv
235.0,Bass(1976),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen%20oxides/NO2_Bass(1976)_235K_290-410nm.txt,Absorption measurements were made at intervals of 0.125 nm with a spectral resolution of 0.015 to 0.04 nm,NO2,nitrogen dioxide,"

  A.M. Bass, A.E. Ledford, and A.H. Laufer, ""Extinction coefficients of NO",data/cross-sections/Nitrogen oxides/NO2/NO2_Bass(1976)_235K_290-410nm.csv
298.0,Bass(1976),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen%20oxides/NO2_Bass(1976)_298K_185-410nm.txt,Absorption measurements were made at intervals of 0.125 nm with a spectral resolution of 0.015 to 0.04 nm,NO2,nitrogen dioxide,"

  A.M. Bass, A.E. Ledford, and A.H. Laufer, ""Extinction coefficients of NO",data/cross-sections/Nitrogen oxides/NO2/NO2_Bass(1976)_298K_185-410nm.csv
298.0,Bass(1976),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen%20oxides/NO2_Bass(1976)_298K_192.5-412.5nm(5nm).txt,"Averages of the high-resolution (0.015-0.04 nm) spectrum over the 5-nm intervals 192.5-197.5, 197.5-202.5, ......, 407.5-412.5 (first column: center of interval) as given by",NO2,nitrogen dioxide,"

  A.M. Bass, A.E. Ledford, and A.H. Laufer, ""Extinction coefficients of NO",data/cross-sections/Nitrogen oxides/NO2/NO2_Bass(1976)_298K_192.csv
203.0,Bogumil(2003),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen%20oxides/NO2_Bogumil(2003)_203K_241-760nm.txt,Absorption measurements using the SCIAMACHY PFM (scanning imaging absorption spectrometer for atmospheric chartography pre-flight model) spectrometer,NO2,nitrogen dioxide,"

  K. Bogumil, J. Orphal, T. Homann, S. Voigt, P. Spietz, O.C. Fleischmann, A. Vogel, M. Hartmann, H., Bovensmann, J. Frerick, and J.P. Burrows, ""Measurements of molecular absorption spectra with the SCIAMACHY pre-flight model: Instrument characterization and reference data for atmospheric remote sensing in the 230-2380 nm region"",
  J. Photochem. Photobiol. A: Chem. 157, 167-184 (2003); 


  DOI: ",data/cross-sections/Nitrogen oxides/NO2/NO2_Bogumil(2003)_203K_241-760nm.csv
223.0,Bogumil(2003),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen%20oxides/NO2_Bogumil(2003)_223K_233-769nm.txt,Absorption measurements using the SCIAMACHY PFM (scanning imaging absorption spectrometer for atmospheric chartography pre-flight model) spectrometer,NO2,nitrogen dioxide,"

  K. Bogumil, J. Orphal, T. Homann, S. Voigt, P. Spietz, O.C. Fleischmann, A. Vogel, M. Hartmann, H., Bovensmann, J. Frerick, and J.P. Burrows, ""Measurements of molecular absorption spectra with the SCIAMACHY pre-flight model: Instrument characterization and reference data for atmospheric remote sensing in the 230-2380 nm region"",
  J. Photochem. Photobiol. A: Chem. 157, 167-184 (2003); 


  DOI: ",data/cross-sections/Nitrogen oxides/NO2/NO2_Bogumil(2003)_223K_233-769nm.csv
243.0,Bogumil(2003),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen%20oxides/NO2_Bogumil(2003)_243K_233-890nm.txt,Absorption measurements using the SCIAMACHY PFM (scanning imaging absorption spectrometer for atmospheric chartography pre-flight model) spectrometer,NO2,nitrogen dioxide,"

  K. Bogumil, J. Orphal, T. Homann, S. Voigt, P. Spietz, O.C. Fleischmann, A. Vogel, M. Hartmann, H., Bovensmann, J. Frerick, and J.P. Burrows, ""Measurements of molecular absorption spectra with the SCIAMACHY pre-flight model: Instrument characterization and reference data for atmospheric remote sensing in the 230-2380 nm region"",
  J. Photochem. Photobiol. A: Chem. 157, 167-184 (2003); 


  DOI: ",data/cross-sections/Nitrogen oxides/NO2/NO2_Bogumil(2003)_243K_233-890nm.csv
273.0,Bogumil(2003),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen%20oxides/NO2_Bogumil(2003)_273K_230-890nm.txt,Absorption measurements using the SCIAMACHY PFM (scanning imaging absorption spectrometer for atmospheric chartography pre-flight model) spectrometer,NO2,nitrogen dioxide,"

  K. Bogumil, J. Orphal, T. Homann, S. Voigt, P. Spietz, O.C. Fleischmann, A. Vogel, M. Hartmann, H., Bovensmann, J. Frerick, and J.P. Burrows, ""Measurements of molecular absorption spectra with the SCIAMACHY pre-flight model: Instrument characterization and reference data for atmospheric remote sensing in the 230-2380 nm region"",
  J. Photochem. Photobiol. A: Chem. 157, 167-184 (2003); 


  DOI: ",data/cross-sections/Nitrogen oxides/NO2/NO2_Bogumil(2003)_273K_230-890nm.csv
293.0,Bogumil(2003),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen%20oxides/NO2_Bogumil(2003)_293K_230-930nm.txt,Absorption measurements using the SCIAMACHY PFM (scanning imaging absorption spectrometer for atmospheric chartography pre-flight model) spectrometer,NO2,nitrogen dioxide,"

  K. Bogumil, J. Orphal, T. Homann, S. Voigt, P. Spietz, O.C. Fleischmann, A. Vogel, M. Hartmann, H., Bovensmann, J. Frerick, and J.P. Burrows, ""Measurements of molecular absorption spectra with the SCIAMACHY pre-flight model: Instrument characterization and reference data for atmospheric remote sensing in the 230-2380 nm region"",
  J. Photochem. Photobiol. A: Chem. 157, 167-184 (2003); 


  DOI: ",data/cross-sections/Nitrogen oxides/NO2/NO2_Bogumil(2003)_293K_230-930nm.csv
221.0,Burrows(1998),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen%20oxides/NO2_Burrows(1998)_221K_230-794nm(air).txt,Air wavelengths; spectral resolution 0.2-0.4 nm,NO2,nitrogen dioxide,"

  J.P. Burrows, A. Dehn, B. Deters, S. Himmelmann, A. Richter, S. Voigt, and J. Orphal, ""Atmospheric remote-sensing reference data from GOME: Part 1. Temperature-dependent absorption cross-sections of NO",data/cross-sections/Nitrogen oxides/NO2/NO2_Burrows(1998)_221K_230-794nm(air).csv
221.0,Burrows(1998),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen%20oxides/NO2_Burrows(1998)_221K_230-794nm(vac).txt,Vacuum wavelengths; spectral resolution 0.2-0.4 nm,NO2,nitrogen dioxide,"

  J.P. Burrows, A. Dehn, B. Deters, S. Himmelmann, A. Richter, S. Voigt, and J. Orphal, ""Atmospheric remote-sensing reference data from GOME: Part 1. Temperature-dependent absorption cross-sections of NO",data/cross-sections/Nitrogen oxides/NO2/NO2_Burrows(1998)_221K_230-794nm(vac).csv
241.0,Burrows(1998),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen%20oxides/NO2_Burrows(1998)_241K_230-794nm(air).txt,Air wavelengths; spectral resolution 0.2-0.4 nm,NO2,nitrogen dioxide,"

  J.P. Burrows, A. Dehn, B. Deters, S. Himmelmann, A. Richter, S. Voigt, and J. Orphal, ""Atmospheric remote-sensing reference data from GOME: Part 1. Temperature-dependent absorption cross-sections of NO",data/cross-sections/Nitrogen oxides/NO2/NO2_Burrows(1998)_241K_230-794nm(air).csv
